time;x;y;yaw;x_gt;y_gt;yaw_gt;error_x;error_y;error_yaw;RMS
46.5;-249.8171110679;299.0299414668;-0.9998493256;-249.5319444548;299.2704272115;-0.9999636936;0.285166613;0.2404857448;0.000114368;0.3730327113
47;-249.7768904978;299.0130935953;-0.9999828661;-249.4874373736;299.2011203056;-0.9999803907;0.2894531242;0.1880267103;2.47545067055821E-06;0.345162505
47.5;-249.6721972359;298.843525721;-1.0000055442;-249.423862501;299.1021163804;-0.9999916272;0.2483347349;0.2585906594;0.000013917;0.3585237369
48;-249.6432866142;298.72505974;-1.000040314;-249.3524586328;298.9909171625;-1.0000007578;0.2908279815;0.2658574224;3.9556168378807E-05;0.394031833
48.5;-249.5266870736;298.5813543654;-1.0000553348;-249.2775170568;298.8742054362;-1.0000123715;0.2491700168;0.2928510709;4.29633309351196E-05;0.3845093612
49;-249.4430751724;298.4462233656;-0.9998550752;-249.2006608964;298.7545087913;-1.0000236765;0.242414276;0.3082854257;0.0001686013;0.3921793127
49.5;-249.3292123375;298.3822087332;-0.9999381835;-249.1225092844;298.6327911646;-1.0000377314;0.2067030531;0.2505824313;9.9547894680585E-05;0.3248349072
50;-249.2241085862;298.2440661237;-1.0001020849;-249.0433035642;298.5094281004;-1.0000517814;0.180805022;0.2653619767;5.03035250327688E-05;0.3211034681
50.5;-249.2173134991;298.1157822642;-1.000278001;-248.9631428509;298.3845736445;-1.0000674404;0.2541706482;0.2687913803;0.0002105606;0.3699345467
51;-249.1553869765;297.9747006916;-1.00026215;-248.8820726352;298.2582983509;-1.0000833051;0.2733143413;0.2835976593;0.0001788449;0.3938634199
51.5;-249.0124342813;297.8383228635;-1.0001814801;-248.8001181063;298.1306411949;-1.0000998404;0.212316175;0.2923183313;8.16397383034406E-05;0.3612868274
52;-248.9387089132;297.783699434;-1.0001230138;-248.7172966956;298.001629096;-1.0001167368;0.2214122176;0.2179296619;0.000006277;0.3106713821
52.5;-248.8616611908;297.5463224196;-1.0000835647;-248.6336383037;297.8713084298;-1.0001337672;0.2280228872;0.3249860102;5.02024524406952E-05;0.3970016958
53;-248.8064519312;297.5489427301;-1.0001417757;-248.5494514084;297.7401595913;-1.0001510926;0.2570005228;0.1912168612;9.31691375471999E-06;0.3203328844
53.5;-248.656164044;297.36512395;-1.0001556185;-248.4646688469;297.6080778232;-1.0001684396;0.1914951971;0.2429538732;1.28210603034251E-05;0.3093493093
54;-248.6132267507;297.2624576139;-1.0000974983;-248.3791656404;297.4748682863;-1.0001861228;0.2340611103;0.2124106724;8.86244901765476E-05;0.316074208
54.5;-248.5254954049;297.1170832355;-1.000170304;-248.2929018919;297.3404686822;-1.0002038885;0.232593513;0.2233854466;3.35844684282716E-05;0.3224915521
55;-248.4861383294;296.9506876827;-1.0001162339;-248.2058697676;297.2048666632;-1.0002218609;0.2802685618;0.2541789805;0.000105627;0.3783615097
55.5;-248.4829242579;296.7516828182;-1.000236166;-248.1180733889;297.0680685087;-1.0002399762;0.364850869;0.3163856905;3.8101832910975E-06;0.4829244887
56;-248.386874831;296.6347450624;-1.0001254143;-248.0295212703;296.9300873457;-1.0002582272;0.3573535607;0.2953422832;0.0001328129;0.4636039789
56.5;-248.2176660289;296.4137016615;-1.0002182516;-247.9402234778;296.7909387203;-1.0002766354;0.2774425511;0.3772370587;5.83838253875868E-05;0.4682757425
57;-248.1285339717;296.3567694106;-1.0002567055;-247.8501905608;296.6506389346;-1.0002951636;0.2783434109;0.293869524;3.84580704213544E-05;0.4047645649
